GENE_SYMBOL,ES740463,ES740496,ES740562,ES740637,ES740640,ES740691,ES740706,ES740712,ES740724,ES740772,ES740790,ES740871
GCLC,4436,4548,5567,4309,4706,5668,4821,5195,7105,4613,3391,5299
ACMSD,5,5,5,9,4,1,2,2,0,4,9,8
ITGA9,82,44,127,112,133,190,65,218,92,95,63,57
MIR4687,0,0,0,0,0,0,0,0,0,0,0,0
HCG9,1,1,2,2,5,4,3,1,2,2,3,8
SEPW1,5581,6838,4728,4398,4641,8386,7678,4422,6775,4657,4850,7995
BUB1,317,333,387,172,229,181,150,151,597,174,261,273
MIR3605,1,0,6,6,2,3,0,0,1,1,1,3
LOC100128023,1,1,0,0,0,0,0,1,0,0,0,3
KBTBD4,1245,1324,1248,1307,1754,2088,1545,1252,1849,1436,2121,1695
PNRC1,54502,23362,62493,54588,60256,45742,44278,70697,47742,71331,73447,48236
CTSS,357337,101126,333082,261629,185785,277697,135067,318593,377710,284232,72102,428310
FAM65A,10902,3604,12473,8798,8495,6146,5591,9889,10513,10360,7178,10905
C6orf58,0,0,1,5,4,1,0,3,2,2,1,0
SNORA38,4,1,11,15,14,4,6,1,1,8,25,3
ZP3,348,277,449,235,179,330,174,354,372,246,212,475
SORBS1,93,101,101,110,224,107,166,151,109,117,195,87
ALKBH3,1640,1554,1525,1154,1112,1587,1660,1311,1805,1309,1476,2028
DEFB109P1B,0,0,0,0,0,0,0,0,0,0,0,0
UMODL1,8,8,38,27,22,47,13,21,22,44,46,28
MIR4659A,2,3,0,1,1,0,0,0,1,1,0,0
SP6,21,6,30,13,129,15,58,44,8,44,95,14
APPBP2,4656,3109,4476,4239,4394,3666,4984,3690,5164,4044,5323,5550
AGTR1,0,0,0,0,0,0,0,0,0,0,0,0
NUP88,4027,4554,4232,3213,4762,3839,4288,3159,5037,3828,6910,5307
KDM3A,10587,7021,14565,14878,23126,9239,14645,11844,11183,14035,26873,11719
SNORA70G,26,10,33,54,34,13,9,22,9,19,23,15
