	Alveolar-Type1	Alveolar-Type2	CD4+T	CD8-CytT	Ciliated	Fibroblast	Mast	Monocyte	NK
IFRD1	6.21038496779191	9.171459553184217	11.420901729255613	11.093886281593193	6.3216768637399205	9.973968461325413	9.227044768589257	10.64354381248231	11.86092517547026
IFT22	4.731053197611626	8.629545068918857	6.2936743246326605	6.063015648443824	9.188112195477997	9.138767889312668	4.576307773549581	5.497742642953575	7.1262243548985555
IFT27	4.1835086668438795	8.188632756374018	8.3205937064059	8.399682399280096	9.242116333724633	8.527780370193343	7.874075499476465	8.012129887600938	9.556828527070806
IFT43	4.7823814092927615	8.338722791097155	7.411178515482537	7.630488327375612	8.635472904810536	9.462016725552084	6.598229112454714	6.724174933456945	8.975278686005337
IFT57	7.84895419024419	10.684101102983425	8.744333246458584	8.629402887587746	9.930397525126128	9.921725219367623	8.090410457614096	7.394229615152091	8.886784938053468
IFTAP	4.081194566581874	7.472632358652627	5.61557549580944	5.3142944724529695	8.598485876499888	8.460526503701756	6.554367826145581	7.359492882701227	5.628757850262817
IGF1	1.0733254514116235	4.343294818605493	6.086979669672449	5.766762212115109	0.7079068998726921	12.70036103536151	3.978565044132063	5.963456552582126	6.63978739556539
IGFBP2	6.318618004126743	4.876348872011431	3.839666485100858	4.4690498693459055	9.444675762339404	9.09801523386896	4.792741889199949	7.0452725842870985	7.357614021578023
IGFBP3	2.712682493607028	4.914929790977767	7.5257251601064645	8.159155461390972	3.22409570204011	11.041827912448069	3.7731293930624465	5.5966797866136515	7.053829571975881
IGFBP4	4.986948000244953	10.347261148085325	9.142508326058891	8.520120712612028	6.0845480946998585	14.498541591554938	8.083919754119458	8.696875851350011	9.861682724586737
IGFBP5	2.266279792197968	4.242398243043175	5.44483454118889	5.915245170506407	8.19651493519455	12.67395092322171	4.782722704829045	6.5733015051287405	5.461535107638122
IGFBP6	5.035265786617053	8.242343361518113	8.382029881319362	8.127935632134546	4.234425980238407	14.612043156691376	7.605504482581426	9.500811133595866	9.18558189212785
IGFBP7	7.846920808360421	8.907910220607446	9.762833464348354	10.110975999669586	11.133542206131311	15.53406117674024	9.388070384158574	10.812728762159349	13.153374533833832
IGKC	6.355076293015007	9.75811909036878	11.687999783061594	11.32633071980535	5.955568684271637	11.004009033490188	10.766968027286447	11.936838871818626	12.75578494163502
IGSF6	4.61085429093419	4.725002554054519	6.516714255909157	4.882001763398216	4.596507158870195	6.676042957158495	5.303489513528825	12.337339244325666	7.177026692718571
IK	6.305079319594228	9.341458556806362	10.911956670703937	10.773522335645282	9.83837415745151	10.045525835755237	8.87563433048748	9.826801413412257	11.63334015806546
IKZF1	3.366744084024696	5.46058449419559	11.357482177367984	10.915523365592897	1.357327067407855	5.221449466608195	8.99288510129402	9.629974988389325	11.83345068962385
IL10	0.9013503868769546	4.023035559690442	8.36336318707316	7.168379388048591	0.0	5.2613520468810195	2.996641051385303	11.73710610920137	6.415998177681562
IL10RA	3.099744204856474	5.227084568005164	11.578985682917846	11.406092466563825	1.6282929122445993	5.334316804647445	6.285047697736653	10.92418519564938	11.859978591428966
IL13	0.0	1.512130383299124	6.434080316454541	5.835941097551307	0.0	2.4284801865388035	10.1399384492112	3.799732228996697	5.811570289466302
IL1B	5.5170828064787685	7.913476650959092	8.705992066003956	8.0333339591759	4.305522544956697	9.14484211100903	8.179481939305937	15.714522758978989	10.06558577432943
IL1RL1	2.2496390830821955	3.266190603313642	4.999468359101636	5.441186384487032	0.5327536370541166	4.83276943019264	11.143178275510252	7.02409501638894	6.509573131638435
IL1RN	2.0958404543911446	5.704926507033845	6.473141385187183	6.694007962073019	1.9638710694432735	7.024026735017385	6.249097899500116	12.900267063211285	8.145062191864593
IL2RB	3.2864050981453605	5.47509072118129	9.74344502084958	10.610972863040882	1.3600309712759986	5.33184116131735	6.246471935350618	6.882813595177831	13.343869139997818
IL2RG	3.9636583332731483	6.588614565284794	12.850795126556669	12.731478143027235	3.4800104949366797	6.571665131252703	9.127571532624906	9.672534423979933	14.106830762877607
IL32	9.414085626511854	9.170620383155612	15.182939257404826	14.940675739729361	5.055534939271819	11.87759296452376	9.651952914592847	10.12161885916338	14.46826421515529
IL4R	4.673783212296517	7.926662182296892	9.677240425245209	9.036806610689425	4.829532274086088	7.980274184805555	10.041836808455637	9.593785312200584	9.780626539811424
IL6ST	5.832953795061929	9.917323143385945	10.210860403582817	8.792313654528176	6.144784256485256	11.548906175567849	8.20914422534962	9.13838342230257	8.761763731756899
