,liver-apap_1,liver-apap_2,liver-apap_3,liver-apap_4,liver-apap_5,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5,liver-mda_1,liver-mda_2,liver-mda_3,liver-mda_4,liver-mda_5
Arhgap29,65.4825663234556,56.98278419620685,83.19819099908375,81.52744773441195,108.50521495525294,26.61269165374069,33.600321172666,61.076919063230704,80.68208562559235,90.03143799420924,116.25436272591006,122.44865456303484,162.9637608059256,43.05206831952755,132.03426178273546
Arhgap30,42.09261924169861,20.6216287103157,28.186771493352104,22.7504988327851,26.7936011574368,19.2850767979362,18.563043884744506,13.0500071759745,11.970710199577,21.6505658913127,30.5800772961558,33.214662529608695,26.6948855371918,17.3390565747642,24.100956294865103
Arhgap31,29.886195236226,28.923644136963897,27.560525361989,15.8218549040836,26.0282299109238,17.4936056787293,9.856393939332731,32.1516542221194,28.1313366934479,24.567859323309303,24.3082193108942,22.2890896254368,25.4324043717175,19.5238255398525,30.5377672515828
Arhgap32,24.2306712173816,27.3698110738734,27.5997771235285,23.5309656123565,24.6295130817447,17.7992207571308,20.71282829921489,21.3757001490577,24.560209491220004,33.9004783511304,25.2947153208172,27.740952676102,27.8447570768072,18.7875205089394,26.0350523754306
Arhgap33,8.26581225484178,14.6502576364335,11.1839217188555,1.42397788468949,3.5952630039382405,4.14249871062933,10.708230128925,1.71210229834215,2.0973884400794303,12.1849462975769,6.78319502828439,3.43017599188875,3.74243537771563,3.4582548286723296,6.310837246964639
Arhgap35,106.7981636147415,86.5956731250445,102.861949136341,111.204248624997,116.382403297868,95.4669446898735,76.6865152223595,94.686069269624,85.0920232990625,100.360980788282,131.6207091919305,148.5547861484151,174.9729507258435,128.35023845786998,160.0056453702468
Arhgap36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arhgap39,28.6729173268304,20.8050337168888,32.9601467661698,14.3757824523369,24.0250078371908,11.4607405203063,15.2286112043433,16.556775941333,11.458146587332198,21.6007395458743,34.8295079843997,43.3512191336837,41.2047746327672,22.986571157764395,36.5679115901903
Arhgap4,31.510145728186604,27.511445582306298,19.0531894156958,16.8894635088233,10.1202792731593,21.7052485815381,23.8932061677693,15.814074855645002,14.0520221948586,25.3799008118419,23.166230415408,31.7061173989687,35.0171409305082,25.2804315899617,20.3990692355708
Arhgap40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arhgap42,88.63986928649729,91.5872423907006,124.514007001491,85.655241423154,86.0179872866959,74.4047158358605,100.173478232679,127.064963171787,154.646967093751,147.576122455545,253.162121394046,236.51355954492,245.816478561217,152.925963251351,208.302614708173
Arhgap44,4.1146185052960895,1.723714489389005,1.48278479363368,0.8680352419745601,1.46177327207228,1.5827754637374152,0.87908123339433,1.7071396647995,1.424248641984815,3.6104139103809,0.888232470279955,0.0,1.22825438085124,4.54575259490618,2.74291661454983
Arhgap45,65.9791117429154,56.13769724347161,37.031521172594,32.7614935441389,36.3466268183745,43.44752663550221,44.8177248400317,43.6019116174279,35.2973577654082,78.50991301952129,45.3550700413936,44.370928553956006,53.685738965828,56.3450105679058,49.8573245510217
Arhgap5,20.2248559238369,21.83281003148225,57.4045132159825,34.48415298701385,45.234001421869294,14.982023247137551,16.4175477992773,19.2545350572712,40.05192923243265,31.9785271787004,56.651862485234005,60.2298718535465,87.01306210454,14.509626136471,57.675319466385005
Arhgap6,8.134820302760904,9.269530246570293,13.7007924231358,4.5172008577189,15.13396459797765,7.44588156324545,10.543187129314305,10.8730359838569,17.75617085320825,19.77008928744669,31.513817658498,22.408695172349603,22.9583871082644,12.38034119785805,21.4811770364686
Arhgap8,164.04325053411898,102.238151110345,77.2177658218919,105.047781909475,80.11748700231041,132.65435200520798,36.6198237941251,101.64506174848302,37.7573162454739,29.3976385806114,381.274795512072,456.627704363556,462.281204544873,341.099003123724,306.355910360087
Arhgap9,26.374983847362245,22.31968523183732,30.53837713992208,19.209787009423444,16.200966664103536,19.0694029440156,12.375865865605077,11.78944806515676,9.659644243563324,22.18076156493845,25.79754808789245,23.8092899834027,26.17051690411185,22.64066648948309,20.57740585230325
Arhgdia,4899.753599782629,3840.922289232729,3555.40990780844,3452.36615528886,2704.44347693722,1512.28963161845,1003.20996750392,1327.77496442008,1039.32509849002,1133.12549123985,2737.4285282055803,2693.08909825154,3247.87187670521,3194.25710127241,3362.2081248868603
Arhgdib,309.353500276813,226.328429397382,188.503824357915,219.361471510661,143.273644431826,359.22112368512103,169.584738451839,294.993217110219,262.629377557603,271.950250578274,319.63418878467604,236.25829626976503,363.566567550976,330.636342828023,348.740355618782
Arhgef1,0.0,0.0,0.0,0.0,19.659353943414647,0.0,0.0,30.2369497430024,0.0,0.0,10.36025981387795,0.0,0.0,0.0,0.0
Arhgef10,6.12803565597991,9.8023856198592,4.47240627632508,6.80117611439606,7.799157761019519,11.1758474398142,5.7544761862867,7.516338260647861,6.8502199086428,10.957744496184098,7.80310112729782,10.6706695433959,13.3182527703869,9.44597381486836,9.16770312957295
Arhgef10l,22.6462866259758,21.288809544177106,18.3446310591697,11.5405865963748,10.5522173201655,22.1018928831038,21.0603297372492,21.913822783976,18.3384884365472,39.506487151587,34.5669619863368,50.4068606598301,63.714083788360206,47.15637850163979,12.6139364120388
Arhgef11,51.75931279360195,51.0038146593221,52.6000335428111,34.679874300445555,54.10517523958811,33.716897860387895,43.253475578014,38.89052159291565,32.2961513705981,65.25939845767995,59.5994590970292,84.4847298403167,80.5176828138192,52.95206201125595,59.046240210384056
Arhgef12,149.28895015437394,121.23977066981392,153.9857146097263,134.99269418832262,150.50726136432587,64.8953759883309,82.64299372301664,77.58817178207894,91.73269034386036,117.0877062756494,161.08390979074102,210.11961642732305,213.3849819000245,123.78540000869526,171.87745446050002
Arhgef15,12.252863591890469,18.308975455199167,7.952651483446056,7.063646220183151,10.655430909657836,8.038772064083435,6.042439051594349,11.2826696997442,10.81176283114736,13.55062766744395,8.669578190728199,14.36783602064215,11.37298126545147,10.336099224556314,10.5424434021104
Arhgef16,3.01001115757392,1.03268058572803,0.908305562615525,0.2968321367725935,0.454085527351906,0.0,0.888260773840245,3.910059595643295,1.039971408082335,1.224092097237405,2.71971115310482,4.80869605432661,5.323986311748,2.049882578143805,3.5851368036410296
Arhgef17,16.2518896132582,13.2746622041068,13.5057041798404,10.6683710054077,13.689471787216402,10.1573681207169,8.04776759114351,9.73370064713664,8.63627983718664,11.657777402662498,4.17544773660263,3.04990245555326,5.29568960444468,5.930325831927981,8.233771816357219
Arhgef18,108.691206849138,78.5165915512819,90.7507598762982,91.8880542243993,101.173895865965,65.99911313527839,60.8413649808137,69.9026146188868,65.2726022050898,81.49077472770009,90.3862734597258,112.15704684423,120.803618421044,98.989729591983,105.110596092876
Arhgef19,57.42028752474461,25.674943381008,61.1671498054548,24.6926101827835,132.05771494798,268.098482703019,239.36707019118305,408.777620821044,354.40052471991,385.188794666606,644.286033921677,811.9207353372791,768.841148602146,592.209846739997,707.421175722439
