,B,CD4T,CD8T,Mon,NK,Neu
EYA2,4.396462332498288,4.319758826452732,4.880903649607613,3.3882254680237462,6.657285880153204,4.23814532288101
F12,0.0,0.0,0.0,1.6172262214481106,0.38192284108109975,4.504826044374189
F2RL2,3.487649799885839,2.65707888848443,3.032017049444021,5.928382520557545,3.305905071953485,9.38511060663642
F3,0.3473398603895428,0.0,0.0,1.7186755579535355,0.0,4.960209592602433
FA2H,0.0,0.0,0.0,0.0,0.0,2.8130408277202967
FAM124A,1.4173627004163964,2.0266986107840195,1.7120109133126669,0.8838219178099707,4.436921333256821,0.7187110257189913
FAM83H,2.4559770934927387,2.1449338023875244,2.506978026570536,1.2798355903837608,4.333261868617606,1.1988832980704562
FAM89A,4.523376738682165,4.725078920146112,4.571905162983747,4.554040720936788,6.395930079814441,3.000143488781039
FASLG,5.760552755800992,6.214956116500101,5.054520759628305,4.748782741992725,8.195560536204827,5.101824485014966
FBLN7,1.6196077608308683,3.129222357154429,1.335828130222209,1.4772260549710037,1.0210552152134216,1.4115582661363293
FBN1,1.3883925665929717,0.7617840526157906,0.9988239894798524,3.952876222058385,1.1858545862625869,1.94535731343628
FBXL5,8.377302968526887,7.974114402959081,7.924322222297652,9.71003088246552,8.289856555085212,11.848359934236582
FCAR,3.482569303292116,2.8278398918565415,2.163921553847413,5.72534825903514,3.3808888924484495,9.36239601798643
FCER1A,2.1479929179227,0.0,1.59629176161367,2.1241356372092923,1.1522121142306836,4.656715062010893
FCGR3A,7.203560939885528,6.644293425763589,6.941914688862228,10.602546336138232,7.357611941877463,7.1076616487691116
FCRL6,4.021730398378887,3.4295529542014678,3.288030751347467,2.3574557505895983,7.516076983350177,2.662375997402551
FETUB,2.7517110427315323,2.3705014970969334,2.6125702262573425,5.302237223531793,2.3403893639387334,9.037930664236828
FFAR4,4.0288179127197985,3.9819403166783394,3.7975523870338685,4.081448293144241,6.03624068643248,3.502973272975761
FGD4,3.8391712077491453,3.3962441851603966,3.217224817110246,8.28125685241546,3.571117822961684,6.563465791559016
FGF10,2.471968839976125,2.3219609197965054,1.9035662514189036,1.0443865161809056,5.516295067383322,0.8102926853060601
FGF12,1.2719773167383317,0.7784809563010253,0.47002520414487936,3.058861796887636,0.4568020896107666,6.060696940326232
FGF13,0.0,2.154681217024055,0.0,0.0,0.0,0.0
FILIP1L,6.47712365712756,6.138120965116362,5.920404166819351,9.248656460471075,5.895377222405133,6.519712742785682
FLNB,3.919906601509233,3.7101690994511216,3.780559676571058,8.178943746570413,4.090122943946714,5.506920590543631
FOSB,9.060051731627073,5.1135915089485575,4.751427800809477,5.02595587382817,6.703504337609287,6.091314028748901
FOXRED2,4.901565155491388,4.820735056598419,4.644562584886815,3.0233495409600755,6.597615096440347,3.376024629568968
FPR1,2.4493720511960877,1.6408074778285697,2.4811951579158196,5.225885088278599,2.4796500628236764,8.161871852994404
FPR2,5.250418345083523,5.238561067258589,5.173577427285653,10.066251622760834,5.300239275687224,8.114695793890265
FPR3,5.619021477741221,4.821868932139333,5.303063961408062,9.579056716765983,5.196248614200462,6.506532590364955
FRRS1,6.117866587156619,6.201347589455701,6.221055899484167,8.22671895333382,6.32911992329836,6.332050093840944
FRY,2.482667049977698,2.925842170363272,2.5159563562128433,5.4837971206380525,2.4947998248041996,3.828556073751655
FXYD3,1.2494258445237958,4.7864804971362505,3.1744547599754083,1.3757736752976757,1.712944956666677,3.0755425084219654
GADD45A,8.516269847597952,7.486318280093423,7.25750939758905,10.6532085696272,7.8251611846393345,13.019329173044149
GALNTL5,1.2447301501090533,1.4997091705351155,1.3683090779717353,5.156169123856751,1.3808566489035672,3.191612088375503
GASK1B,4.215600952174672,3.6857009620901557,3.6455463177495795,6.793733233738539,4.115949584227613,4.969337294450556
GATA2,4.099615544883216,3.1328774427018082,3.1417990508782796,3.805480983303635,3.7208653698943883,6.277906095654735
GCHFR,6.344322653576148,5.849372526818319,6.128438012254382,10.281909605478816,6.6267082755707545,8.329321609378205
GCNT2,2.9530953466213568,1.2083513759295386,1.6880502682211769,5.345738945274135,1.8366010718997026,3.4528387703687144
GDA,8.454153810902335,8.093969403773208,8.244883683166389,11.324245806779397,8.656160987773724,9.306243002141075
GDF10,0.15543946276581896,0.15927959978540918,0.0,0.0,2.1699310790683812,0.0
GDPD5,4.002357864782361,3.8071524013263707,3.0771481579532756,3.411038663483554,6.591682336439417,4.481147949450952
GJB2,5.729881390716763,4.756114283720537,4.9251472410637245,10.639526613490467,5.363817824434523,8.05528881118111
GKN1,0.0,2.687038314867711,0.8166399321043438,0.9132401948009398,0.8092878025529181,0.9206492964860662
GLIS2,3.637166668060625,3.0287552921491527,3.3454251286084817,1.6086982910028618,5.312907021131146,2.0222002198697666
